h1,h2,h3,h4,h5,h6,url
"Jyoti,Kaur,Randhawa,MD","Dr. Randhawa
is on Doximity,Education & Training,Certifications & Licensure,Viewing the full profile is available to verified healthcare professionals only.",No data,No data,No data,No data,https://www.doximity.com/pub/jyoti-randhawa-md
404: Page not found,404,404,404,404,404,https://psychiatry.uchicago.edu/directories/full/people
Oops!,No data,No data,No data,No data,No data,https://psychiatry.uchicago.edu/directories/full/people
Child and Adolescent Graduates,You may also like …,"Mia Bell, DO,Ryan Rosenberger, MD,Malcolm Vandrevala, MD,Kamilah C. Banks-Word, MD, MA,Brenda Manoharan, MD,Oday Alsarraf, MD, PH.D,Kavita Jayaswal, MD,Ravi Ramasamy, MD,Laura Chang, DO,Nicholas Austin, MD,Jonathan Kolakowski, MD,Trixie Lipke, MD,Firas Nakshabandi, MD,Michelle John, D.O., M.P.H.,Walter Shuham, MD,Matthew Brown, DO,Purnima Gorrepati M.D.,Jabeen Ali, MD,Imran Shakir, DO,Fernando Espi Forcen, MD,Aliya Ali, DO,Vicente Gonzaga, MD,Lucas Henry, MD,Vijay Khilanani, MD,Jyoti Randhawa, MD,Susan Buratto, MD,Muhammad Junaid, MD,Khalid Afzal, M.D., DFAACAP,Astrid Herard, MD,Jane Gaffrey, DO,Christopher Womack, MD",No data,No data,No data,https://psychiatry.uchicago.edu/people/child-and-adolescent-graduates
404: Page not found,404,404,404,404,404,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=8612
No data,No data,No data,No data,No data,No data,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=8612
404: Page not found,404,404,404,404,404,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=12086
No data,No data,No data,No data,No data,No data,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=12086
404: Page not found,404,404,404,404,404,https://anesthesia.uchicago.edu/directory/atul-gupta-md
Oops!,No data,No data,No data,No data,No data,https://anesthesia.uchicago.edu/directory/atul-gupta-md
",,.argonne-logo-style0{fill:#231F20;}
	.argonne-logo-style1{fill:#FFFFFF;}
	.argonne-logo-style2{fill:#007836;}
	.argonne-logo-style3{fill:#0082CA;}
	.argonne-logo-style4{fill:#0B1F8F;}
	.argonne-logo-style5{fill:none;}
	.argonne-logo-style6{fill:#A12B2F;}
	.argonne-logo-style7{fill:#CD202C;}
	.argonne-logo-style8{fill:#77B300;},,Argonne National Laboratory,,,Oni Basu","Joint Appointment,Research section menu,Footer menu,,.footer-logo-style0{fill:none;}
	.footer-logo-style1{fill:#231F20;},,","Share,Biography,Contact Oni Basu,CV/Resume,Related Organizations,Argonne National Laboratory","Education,Recent Selected Publications",No data,No data,https://www.anl.gov/profile/oni-basu
404: Page not found,404,404,404,404,404,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=5572
No data,No data,No data,No data,No data,No data,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=5572
",,.argonne-logo-style0{fill:#231F20;}
	.argonne-logo-style1{fill:#FFFFFF;}
	.argonne-logo-style2{fill:#007836;}
	.argonne-logo-style3{fill:#0082CA;}
	.argonne-logo-style4{fill:#0B1F8F;}
	.argonne-logo-style5{fill:none;}
	.argonne-logo-style6{fill:#A12B2F;}
	.argonne-logo-style7{fill:#CD202C;}
	.argonne-logo-style8{fill:#77B300;},,Argonne National Laboratory,,,Subramanian Sankaranarayanan","Joint Appointment/ Group Leader, Theory and Modeling Group,Research section menu,Footer menu,,.footer-logo-style0{fill:none;}
	.footer-logo-style1{fill:#231F20;},,","Share,Biography,Contact Subramanian Sankaranarayanan,Related Organizations,Argonne National Laboratory",No data,No data,No data,https://www.anl.gov/profile/subramanian-sankaranarayanan
404: Page not found,404,404,404,404,404,https://www.anl.gov/cnm/staff
",,.argonne-logo-style0{fill:#231F20;}
	.argonne-logo-style1{fill:#FFFFFF;}
	.argonne-logo-style2{fill:#007836;}
	.argonne-logo-style3{fill:#0082CA;}
	.argonne-logo-style4{fill:#0B1F8F;}
	.argonne-logo-style5{fill:none;}
	.argonne-logo-style6{fill:#A12B2F;}
	.argonne-logo-style7{fill:#CD202C;}
	.argonne-logo-style8{fill:#77B300;},,Argonne National Laboratory,,,Page Not Found","Footer menu,,.footer-logo-style0{fill:none;}
	.footer-logo-style1{fill:#231F20;},,","Share,,CONTACT US,,Argonne National Laboratory","404,- The page or service you are requesting could not be found.,For other inquiries,For General Argonne Inquiries,For Argonne Visitor Information",No data,No data,https://www.anl.gov/cnm/staff
404: Page not found,404,404,404,404,404,"https://www.anl.gov/sites/www/files/www1/sites/anl.gov/files/Basu,%20Anindita%20-%20Resume.docx"
",,.argonne-logo-style0{fill:#231F20;}
	.argonne-logo-style1{fill:#FFFFFF;}
	.argonne-logo-style2{fill:#007836;}
	.argonne-logo-style3{fill:#0082CA;}
	.argonne-logo-style4{fill:#0B1F8F;}
	.argonne-logo-style5{fill:none;}
	.argonne-logo-style6{fill:#A12B2F;}
	.argonne-logo-style7{fill:#CD202C;}
	.argonne-logo-style8{fill:#77B300;},,Argonne National Laboratory,,,Page Not Found","Footer menu,,.footer-logo-style0{fill:none;}
	.footer-logo-style1{fill:#231F20;},,","Share,,CONTACT US,,Argonne National Laboratory","404,- The page or service you are requesting could not be found.,For other inquiries,For General Argonne Inquiries,For Argonne Visitor Information",No data,No data,"https://www.anl.gov/sites/www/files/www1/sites/anl.gov/files/Basu,%20Anindita%20-%20Resume.docx"
404: Page not found,404,404,404,404,404,https://www.anl.gov/sites/www/files/www1/sites/anl.gov/files/subramanian.pdf
",,.argonne-logo-style0{fill:#231F20;}
	.argonne-logo-style1{fill:#FFFFFF;}
	.argonne-logo-style2{fill:#007836;}
	.argonne-logo-style3{fill:#0082CA;}
	.argonne-logo-style4{fill:#0B1F8F;}
	.argonne-logo-style5{fill:none;}
	.argonne-logo-style6{fill:#A12B2F;}
	.argonne-logo-style7{fill:#CD202C;}
	.argonne-logo-style8{fill:#77B300;},,Argonne National Laboratory,,,Page Not Found","Footer menu,,.footer-logo-style0{fill:none;}
	.footer-logo-style1{fill:#231F20;},,","Share,,CONTACT US,,Argonne National Laboratory","404,- The page or service you are requesting could not be found.,For other inquiries,For General Argonne Inquiries,For Argonne Visitor Information",No data,No data,https://www.anl.gov/sites/www/files/www1/sites/anl.gov/files/subramanian.pdf
"Sunil Narula, MD","Clinical Associate of Medicine,Medical Director, Medical Oncology for Silver Cross Hospital,","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,,Locations,,,Specialties & Areas of Expertise,,Specialties,Areas of Expertise,,Education,,Medical Education,Internship,Residency,Fellowship,,Memberships & Medical Societies,,Memberships & Medical Societies,,Insurance Plans Accepted,,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,At a Glance,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",",UChicago Faculty Physicians,Open for more information,,,To Request an Appointment",No data,https://www.uchicagomedicine.org/find-a-physician/physician/sunil-narula
Home,"Tougher. Stronger. Smarter.,Leading-Edge Care in your Neighborhood,Tougher. Stronger. Smarter.","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,Tougher. Stronger. Smarter.,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",No data,No data,https://www.uchicagomedicine.org
Ram Shivakumar,"Biography,Research Interests,Academic Areas,Selected Publications,2020 - 2021 Course Schedule,2020 - 2021 Executive Education Schedule,,Get the Latest Insights from Ram Shivakumar in Chicago Booth Review,,Explore,Other Offerings,,Global Locations,,Follow",No data,No data,No data,No data,https://www.chicagobooth.edu/faculty/directory/s/ram-shivakumar
404: Page not found,404,404,404,404,404,https://anesthesia.uchicago.edu/directory/sheetal-patil-md
Oops!,No data,No data,No data,No data,No data,https://anesthesia.uchicago.edu/directory/sheetal-patil-md
404: Page not found,404,404,404,404,404,https://www.uchicagomedicine.org/404?item=%2ffind-a-physician%2fphysician%2fvivek-iyengar&user=extranet%5cAnonymous&site=website
Our Apologies,"The page you requested could not be found.,Patient Care,Patient & Visitor Information,Explore UChicago Medicine,Health & Science Articles","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",No data,No data,https://www.uchicagomedicine.org/404?item=%2ffind-a-physician%2fphysician%2fvivek-iyengar&user=extranet%5cAnonymous&site=website
404: Page not found,404,404,404,404,404,https://www.uchicagomedicine.org/404?item=%2ffind-a-physician%2fphysician%2fveena-bhamre&user=extranet%5cAnonymous&site=website
Our Apologies,"The page you requested could not be found.,Patient Care,Patient & Visitor Information,Explore UChicago Medicine,Health & Science Articles","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",No data,No data,https://www.uchicagomedicine.org/404?item=%2ffind-a-physician%2fphysician%2fveena-bhamre&user=extranet%5cAnonymous&site=website
Raghuram G. Rajan,"Biography,Research Interests,Academic Areas,Selected Publications,Working Papers,2020 - 2021 Course Schedule,,Get the Latest Insights from Raghuram G. Rajan in Chicago Booth Review,,Additional Information,Explore,Other Offerings,,Global Locations,,Follow",No data,No data,No data,No data,https://www.chicagobooth.edu/faculty/directory/r/raghuram-g-rajan
People,No data,Current Flash Center Members,No data,No data,No data,http://flash.uchicago.edu/site/about/directory/
404: Page not found,404,404,404,404,404,https://www.uchicagomedicine.org/404?item=%2ffind-a-physician%2fphysician%2fsamir-undevia&user=extranet%5cAnonymous&site=website
Our Apologies,"The page you requested could not be found.,Patient Care,Patient & Visitor Information,Explore UChicago Medicine,Health & Science Articles","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",No data,No data,https://www.uchicagomedicine.org/404?item=%2ffind-a-physician%2fphysician%2fsamir-undevia&user=extranet%5cAnonymous&site=website
"Arjun,Dayal,MD","Dr. Dayal
is on Doximity,Education & Training,Certifications & Licensure,Publications & Presentations,Press Mentions,Viewing the full profile is available to verified healthcare professionals only.",No data,No data,No data,No data,https://www.doximity.com/pub/arjun-dayal-md
JavaScript is not available.,No data,No data,No data,No data,No data,https://twitter.com/radharamachdran
404: Page not found,404,404,404,404,404,https://www.uchicagomedicine.org/404?item=%2ffind-a-physician%2fphysician%2fanshu-verma&user=extranet%5cAnonymous&site=website
Our Apologies,"The page you requested could not be found.,Patient Care,Patient & Visitor Information,Explore UChicago Medicine,Health & Science Articles","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",No data,No data,https://www.uchicagomedicine.org/404?item=%2ffind-a-physician%2fphysician%2fanshu-verma&user=extranet%5cAnonymous&site=website
Home,"Tougher. Stronger. Smarter.,Leading-Edge Care in your Neighborhood,Tougher. Stronger. Smarter.","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,Tougher. Stronger. Smarter.,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",No data,No data,https://www.uchicagomedicine.org/
404: Page not found,404,404,404,404,404,https://music.uchicago.edu/page/minu-pasupathi
Page not found,"Secondary Menu,Main navigation,Secondary Menu,Footer Menu",No data,No data,No data,No data,https://music.uchicago.edu/page/minu-pasupathi
Sabyasachi Chatterjee,About Sabyasachi Chatterjee,No data,"Favourites,Photos,Wrong,Sabyasachi Chatterjee,? Try Again,Others named Sabyasachi Chatterjee,Others with a similar name",No data,No data,https://www.facebook.com/sabyasachi.chatterjee.1654/about?lst=100001539709231%3A896390491%3A1482227297&section=education&pnref=about
Ram Shivakumar,"Biography,Research Interests,Academic Areas,Selected Publications,2020 - 2021 Course Schedule,2020 - 2021 Executive Education Schedule,,Get the Latest Insights from Ram Shivakumar in Chicago Booth Review,,Explore,Other Offerings,,Global Locations,,Follow",No data,No data,No data,No data,https://www.chicagobooth.edu/faculty/directory/s/ram-shivakumar
404: Page not found,404,404,404,404,404,https://pritzker.uchicago.edu/directory/janaki-patel
Oops!,No data,No data,No data,No data,No data,https://pritzker.uchicago.edu/directory/janaki-patel
404: Page not found,404,404,404,404,404,https://pritzker.uchicago.edu/directory/arjun-dayal
Oops!,No data,No data,No data,No data,No data,https://pritzker.uchicago.edu/directory/arjun-dayal
404: Page not found,404,404,404,404,404,http://www.stat.uchicago.edu/people/faculty.shtml
Not Found,No data,No data,No data,No data,No data,http://www.stat.uchicago.edu/people/faculty.shtml
404: Page not found,404,404,404,404,404,http://www.stat.uchicago.edu/~sabyasachi/
Not Found,No data,No data,No data,No data,No data,http://www.stat.uchicago.edu/~sabyasachi/
Sanjay K. Dhar,"Biography,Research Interests,Academic Areas,Selected Publications,Working Papers,2020 - 2021 Course Schedule,2020 - 2021 Executive Education Schedule,,Get the Latest Insights from Sanjay K. Dhar in Chicago Booth Review,,Explore,Other Offerings,,Global Locations,,Follow",No data,No data,No data,No data,https://www.chicagobooth.edu/faculty/directory/d/sanjay-k-dhar
Pradeep K. Chintagunta,"Biography,Research Interests,Academic Areas,Selected Publications,Working Papers,2020 - 2021 Course Schedule,2020 - 2021 Executive Education Schedule,,Get the Latest Insights from Pradeep K. Chintagunta in Chicago Booth Review,,Explore,Other Offerings,,Global Locations,,Follow",No data,No data,No data,No data,https://www.chicagobooth.edu/faculty/directory/c/pradeep-k-chintagunta
No data,No data,No data,No data,No data,No data,https://mspsd.uchicago.edu/ms-psd-alumni-profile-radha-ramachandran-09/
DIPESH CHAKRABARTY,No data,No data,No data,No data,No data,https://www.iimcal.ac.in/dipesh-chakrabarty
404: Page not found,404,404,404,404,404,http://www.rdcep.org/directory/2015/2/13/radha-ramachandran
No data,Research Areas,RDCEP,No data,No data,No data,http://www.rdcep.org/directory/2015/2/13/radha-ramachandran
404: Page not found,404,404,404,404,404,http://compasshealthcenter.net/staff/dr-vijay-khilanani/
Error 404 Page,"Oops, This Page Could Not Be Found!","Helpful Links,Search Our Website","PROGRAMS BY AGE,Locations,Get Social,COMMUNITY,Privacy Overview",No data,No data,http://compasshealthcenter.net/staff/dr-vijay-khilanani/
404: Page not found,404,404,404,404,404,http://harris.uchicago.edu/directory/faculty/rupa_datta
"The University of Chicago Harris School of Public Policy,That Content Cannot Be Found,","Utility,Utility,Breadcrumb,We're sorry.,Recent News,Upcoming Events,Footer menu,Connect with Us,Questions?","Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Harris School of Public Policy Partners with Leading Policy Schools to Diversify and Support PhD Applicants,,Alumni Profile: Brandon Williams, DPSS’20,,,Women In Policy Panel,,,Data and Policy Summer Scholar Virtual Drop In,",No data,No data,No data,http://harris.uchicago.edu/directory/faculty/rupa_datta
No data,No data,Curriculum Vitae,Log In,No data,No data,https://chicago.academia.edu/RitobanBasuThakur/CurriculumVitae
"Dipesh Chakrabarty,",Chakrabarty Stories,"History That’s Written in Beads as Well as in Words,,Conference from May 17–19 will address representation of Hinduism, its history,Living With Terror,,National academies elect four Chicago scholars,,""Arts of Transmission"" conference examines relationships among ideas and cultures of communication,","Dipesh Chakrabarty,MEDIA CONTACT,Expertise",No data,No data,https://news.uchicago.edu/profile/dipesh-chakrabarty
No data,No data,No data,Log In,No data,No data,https://chicago.academia.edu/RitobanBasuThakur
404: Page not found,404,404,404,404,404,https://kicp.uchicago.edu/people/profile/vinu_vikram.html
Not Found,No data,No data,No data,No data,No data,https://kicp.uchicago.edu/people/profile/vinu_vikram.html
404: Page not found,404,404,404,404,404,https://kicp.uchicago.edu/people/profile/ritoban_basu_thakur.html
Not Found,No data,No data,No data,No data,No data,https://kicp.uchicago.edu/people/profile/ritoban_basu_thakur.html
"History,Dipesh Chakrabarty","Lawrence A. Kimpton Distinguished Service Professor of History, South Asian Languages and Civilizations, and the College",No data,"Mailing Address,Field Specialties,Biography,Research Statement,Lectures (selected),Publications (selected),News","Books in press,Books in preparation,Books published,Forthcoming articles,Recent articles",No data,https://history.uchicago.edu/directory/dipesh-chakrabarty
"The University of Chicago The Law School,Dipesh Chakrabarty,",Biography,Office,No data,No data,No data,https://www.law.uchicago.edu/faculty/chakrabarty
404: Page not found,404,404,404,404,404,https://www.anl.gov/mcs/person/anshu-dubey
",,.argonne-logo-style0{fill:#231F20;}
	.argonne-logo-style1{fill:#FFFFFF;}
	.argonne-logo-style2{fill:#007836;}
	.argonne-logo-style3{fill:#0082CA;}
	.argonne-logo-style4{fill:#0B1F8F;}
	.argonne-logo-style5{fill:none;}
	.argonne-logo-style6{fill:#A12B2F;}
	.argonne-logo-style7{fill:#CD202C;}
	.argonne-logo-style8{fill:#77B300;},,Argonne National Laboratory,,,Page Not Found","Footer menu,,.footer-logo-style0{fill:none;}
	.footer-logo-style1{fill:#231F20;},,","Share,,CONTACT US,,Argonne National Laboratory","404,- The page or service you are requesting could not be found.,For other inquiries,For General Argonne Inquiries,For Argonne Visitor Information",No data,No data,https://www.anl.gov/mcs/person/anshu-dubey
"Ritu,Arya,MD","Dr. Arya
is on Doximity,Education & Training,Certifications & Licensure,Publications & Presentations,Viewing the full profile is available to verified healthcare professionals only.",No data,No data,No data,No data,https://www.doximity.com/pub/ritu-arya-md
"Comprehensive Care, Community, and Culture Program Study,Comprehensive Care, Community, and Culture Program","Comprehensive Care, Community, and Culture Program,Artful Living Program,The C4P Team,ABOUT THE STUDY,WHO CAN ENROLL?,HOW DOES IT WORK?,WHY PARTICIPATE?",CONTACT US TODAY,No data,No data,No data,https://voices.uchicago.edu/c4pstudy/
"Comprehensive Care, Community, and Culture Program Study,Comprehensive Care, Community, and Culture Program","Comprehensive Care, Community, and Culture Program,Artful Living Program,The C4P Team,ABOUT THE STUDY,WHO CAN ENROLL?,HOW DOES IT WORK?,WHY PARTICIPATE?",CONTACT US TODAY,No data,No data,No data,https://voices.uchicago.edu/c4pstudy/
404: Page not found,404,404,404,404,404,https://www.law.uchicago.edu/node/5541/publications
The University of Chicago The Law School,No data,No data,No data,No data,No data,https://www.law.uchicago.edu/node/5541/publications
404: Page not found,404,404,404,404,404,https://www.anl.gov/cnm/staff
",,.argonne-logo-style0{fill:#231F20;}
	.argonne-logo-style1{fill:#FFFFFF;}
	.argonne-logo-style2{fill:#007836;}
	.argonne-logo-style3{fill:#0082CA;}
	.argonne-logo-style4{fill:#0B1F8F;}
	.argonne-logo-style5{fill:none;}
	.argonne-logo-style6{fill:#A12B2F;}
	.argonne-logo-style7{fill:#CD202C;}
	.argonne-logo-style8{fill:#77B300;},,Argonne National Laboratory,,,Page Not Found","Footer menu,,.footer-logo-style0{fill:none;}
	.footer-logo-style1{fill:#231F20;},,","Share,,CONTACT US,,Argonne National Laboratory","404,- The page or service you are requesting could not be found.,For other inquiries,For General Argonne Inquiries,For Argonne Visitor Information",No data,No data,https://www.anl.gov/cnm/staff
404: Page not found,404,404,404,404,404,https://salc.uchicago.edu/faculty/bhaduri
Page not found,"Secondary Menu,Main navigation,Secondary Menu,Footer Menu",No data,No data,No data,No data,https://salc.uchicago.edu/faculty/bhaduri
",,.argonne-logo-style0{fill:#231F20;}
	.argonne-logo-style1{fill:#FFFFFF;}
	.argonne-logo-style2{fill:#007836;}
	.argonne-logo-style3{fill:#0082CA;}
	.argonne-logo-style4{fill:#0B1F8F;}
	.argonne-logo-style5{fill:none;}
	.argonne-logo-style6{fill:#A12B2F;}
	.argonne-logo-style7{fill:#CD202C;}
	.argonne-logo-style8{fill:#77B300;},,Argonne National Laboratory,,,Supratik Guha","Joint Appointment/Senior Advisor to,PSE,Research section menu,Footer menu,,.footer-logo-style0{fill:none;}
	.footer-logo-style1{fill:#231F20;},,","Share,Biography,Contact Supratik Guha,Related Organizations,Argonne National Laboratory",No data,No data,No data,https://www.anl.gov/profile/supratik-guha
Facebook,No data,No data,No data,No data,No data,https://www.facebook.com/aritra.sen.771/about?lst=100001539709231%3A100006435713620%3A1482296714&section=education&pnref=about
No data,No data,No data,No data,No data,No data,https://www.norc.org/Experts/Pages/rupa-datta.aspx
404: Page not found,404,404,404,404,404,http://harris.uchicago.edu/directory/phd-students/pallavi_vyas
"The University of Chicago Harris School of Public Policy,That Content Cannot Be Found,","Utility,Utility,Breadcrumb,We're sorry.,Recent News,Upcoming Events,Footer menu,Connect with Us,Questions?","Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Harris School of Public Policy Partners with Leading Policy Schools to Diversify and Support PhD Applicants,,Alumni Profile: Brandon Williams, DPSS’20,,,Women In Policy Panel,,,Data and Policy Summer Scholar Virtual Drop In,",No data,No data,No data,http://harris.uchicago.edu/directory/phd-students/pallavi_vyas
No data,No data,No data,Log In,No data,No data,https://chicago.academia.edu/AnamBarakzai
404: Page not found,404,404,404,404,404,http://harris.uchicago.edu/directory/phd-students/yuvraj_pathak
"The University of Chicago Harris School of Public Policy,That Content Cannot Be Found,","Utility,Utility,Breadcrumb,We're sorry.,Recent News,Upcoming Events,Footer menu,Connect with Us,Questions?","Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Harris School of Public Policy Partners with Leading Policy Schools to Diversify and Support PhD Applicants,,Alumni Profile: Brandon Williams, DPSS’20,,,Women In Policy Panel,,,Data and Policy Summer Scholar Virtual Drop In,",No data,No data,No data,http://harris.uchicago.edu/directory/phd-students/yuvraj_pathak
Facebook,No data,No data,No data,No data,No data,https://www.facebook.com/pallavi.vyas.92/about?lst=100001539709231%3A628876671%3A1482299861&section=education&pnref=about
"Theory Group,Current Ph.D. students","Department of Computer Science,,The University of Chicago",No data,No data,No data,No data,http://theory.cs.uchicago.edu/students.php
404: Page not found,404,404,404,404,404,https://health.uchicago.edu/People.aspx?Category=5
Oops!,No data,No data,No data,No data,No data,https://health.uchicago.edu/People.aspx?Category=5
404: Page not found,404,404,404,404,404,https://psychology.uchicago.edu//directory/anam-barakzai
"Department of Psychology,Page not found",No data,No data,No data,No data,No data,https://psychology.uchicago.edu//directory/anam-barakzai
Supratik Guha,",Faculty,",No data,No data,No data,No data,https://pme.uchicago.edu/faculty/supratik-guha
No data,"Citations per year,Duplicate citations,Merged citations,Add co-authors,Co-authors,Upload PDF,Follow this author","Cited by,View all,Co-authors,View all",No data,No data,No data,https://scholar.google.co.in/citations?user=ivBtPM4AAAAJ&hl=en
No data,"Ongoing discovery & advanced therapy,Patient Care,Research,Education","Our History,Quick Links,Quick Links,Quick Links,Quick Links",No data,No data,No data,https://radonc.uchicago.edu
No data,"Ongoing discovery & advanced therapy,Patient Care,Research,Education","Our History,Quick Links,Quick Links,Quick Links,Quick Links",No data,No data,No data,https://radonc.uchicago.edu
JavaScript is not available.,No data,No data,No data,No data,No data,https://twitter.com/snegaa?lang=en
Facebook,No data,No data,No data,No data,No data,https://www.facebook.com/ishan.chakrabarti.5/about?lst=100001539709231%3A100010967293789%3A1482384911&section=education&pnref=about
"Sociology,Pranathi Diwakar","Doctoral Candidate,(2015)",No data,Publications,No data,No data,https://sociology.uchicago.edu/directory/pranathi-diwakar
404: Page not found,404,404,404,404,404,https://sociology.uchicago.edu/directory/rishi-arora
"Sociology,Page not found",No data,No data,No data,No data,No data,https://sociology.uchicago.edu/directory/rishi-arora
404: Page not found,404,404,404,404,404,https://sociology.uchicago.edu/sites/sociology.uchicago.edu/files/Diwakar_Pranathi_2016.pdf
"Sociology,Page not found",No data,No data,No data,No data,No data,https://sociology.uchicago.edu/sites/sociology.uchicago.edu/files/Diwakar_Pranathi_2016.pdf
Profile,"Aritra Sen,PhD Student,",No data,No data,No data,No data,https://www.cs.uchicago.edu/people/profile/aritra-sen/
404: Page not found,404,404,404,404,404,https://sociology.uchicago.edu/directory/sneha-annavarapu
"Sociology,Page not found",No data,No data,No data,No data,No data,https://sociology.uchicago.edu/directory/sneha-annavarapu
404: Page not found,404,404,404,404,404,http://harris.uchicago.edu/directory/phd-students/jennifer_ghandhi
"The University of Chicago Harris School of Public Policy,That Content Cannot Be Found,","Utility,Utility,Breadcrumb,We're sorry.,Recent News,Upcoming Events,Footer menu,Connect with Us,Questions?","Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Harris School of Public Policy Partners with Leading Policy Schools to Diversify and Support PhD Applicants,,Alumni Profile: Brandon Williams, DPSS’20,,,Women In Policy Panel,,,Data and Policy Summer Scholar Virtual Drop In,",No data,No data,No data,http://harris.uchicago.edu/directory/phd-students/jennifer_ghandhi
No data,No data,No data,Log In,No data,No data,https://chicago.academia.edu/RishiArora
404: Page not found,404,404,404,404,404,https://sociology.uchicago.edu/sites/sociology.uchicago.edu/files/Sneha_2016.pdf
